t,n1,n2,n3,oracle_n1,oracle_n2,oracle_n3,error_norm,oracle_error_norm,r1,r2,r3,u1,u2,u3,z1,z2,z3
20.95,60.15400754,63.18629021,63.18697907,60.15400754,63.18629021,63.18697907,0.008875133545,0.008875133524,4.399604253,4.599611633,3.799556524,0.6001170483,0.6001140656,0.6001302511,8.401978736,8.601941833,8.602217379
21,60.153938,63.18622306,63.18690174,60.153938,63.18622306,63.18690174,0.008751339761,0.008751339713,4.399609816,4.599617006,3.799562711,0.6001154029,0.6001124878,0.6001284342,8.401950918,8.601914972,8.602186447
21.05,60.15386944,63.18615682,63.18682549,60.15386944,63.18615682,63.18682549,0.008629273026,0.008629272935,4.399615301,4.599622304,3.799568811,0.6001137807,0.6001109316,0.6001266426,8.401923495,8.60188848,8.602155947
21.1,60.15380185,63.1860915,63.18675031,60.15380185,63.1860915,63.18675031,0.008508909233,0.008508909084,4.399620708,4.59962753,3.799574825,0.6001121816,0.6001093968,0.6001248761,8.40189646,8.60186235,8.602125873
21.15,60.15373522,63.18602707,63.18667617,60.15373522,63.18602707,63.18667617,0.008390224612,0.00839022439,4.399626038,4.599632684,3.799580756,0.6001106051,0.600107883,0.6001231342,8.401869808,8.601836579,8.602096219
21.2,60.15366954,63.18596353,63.18660307,60.15366954,63.18596353,63.18660307,0.008273195727,0.008273195418,4.399631293,4.599637768,3.799586604,0.6001090509,0.60010639,0.6001214166,8.401843533,8.601811162,8.602066979
21.25,60.15360478,63.18590086,63.18653099,60.15360478,63.18590086,63.18653099,0.008157799464,0.008157799056,4.399636474,4.599642781,3.799592371,0.6001075187,0.6001049174,0.600119723,8.40181763,8.601786093,8.602038147
21.3,60.15354094,63.18583905,63.18645992,60.15354094,63.18583905,63.18645992,0.008044013035,0.00804401252,4.399641581,4.599647726,3.799598057,0.6001060082,0.6001034651,0.6001180531,8.401792094,8.601761368,8.602009717
21.35,60.153478,63.18577808,63.18638984,60.153478,63.18577808,63.18638984,0.007931813968,0.00793181334,4.399646616,4.599652603,3.799603663,0.600104519,0.6001020327,0.6001164065,8.401766919,8.601736983,8.601981685
21.4,60.15341596,63.18571796,63.18632073,60.15341595,63.18571796,63.18632073,0.007821180106,0.007821179363,4.39965158,4.599657414,3.799609191,0.6001030509,0.60010062,0.6001147828,8.4017421,8.601712932,8.601954044
21.45,60.15335479,63.18565866,63.1862526,60.15335478,63.18565866,63.1862526,0.0077120896,0.007712088745,4.399656473,4.599662158,3.799614642,0.6001016036,0.6000992266,0.6001131819,8.401717633,8.601689212,8.601926788
21.5,60.15329448,63.18560017,63.18618541,60.15329448,63.18560017,63.18618541,0.007604520906,0.007604519946,4.399661298,4.599666836,3.799620017,0.6001001768,0.6000978524,0.6001116032,8.401693511,8.601665818,8.601899914
21.55,60.15323503,63.18554249,63.18611916,60.15323503,63.18554249,63.18611916,0.007498452781,0.007498451727,4.399666054,4.599671451,3.799625317,0.6000987701,0.6000964971,0.6001100467,8.40166973,8.601642745,8.601873414
21.6,60.15317642,63.1854856,63.18605384,60.15317642,63.1854856,63.18605383,0.007393864279,0.007393863149,4.399670743,4.599676002,3.799630543,0.6000973833,0.6000951604,0.6001085118,8.401646285,8.601619989,8.601847284
21.65,60.15311863,63.18542949,63.18598942,60.15311863,63.18542949,63.18598942,0.007290734748,0.00729073356,4.399675366,4.599680491,3.799635696,0.6000960161,0.6000938421,0.6001069984,8.401623172,8.601597546,8.601821519
21.7,60.15306167,63.18537415,63.18592591,60.15306167,63.18537415,63.18592591,0.007189043822,0.007189042602,4.399679923,4.599684918,3.799640777,0.6000946682,0.6000925419,0.600105506,8.401600385,8.601575411,8.601796114
21.75,60.15300551,63.18531958,63.18586328,60.1530055,63.18531958,63.18586328,0.007088771422,0.007088770199,4.399684416,4.599689284,3.799645787,0.6000933393,0.6000912596,0.6001040345,8.40157792,8.601553581,8.601771063
21.8,60.15295014,63.18526575,63.18580153,60.15295013,63.18526575,63.18580153,0.00698989775,0.006989896554,4.399688845,4.59969359,3.799650728,0.6000920293,0.6000899949,0.6001025836,8.401555773,8.601532051,8.601746361
